Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
6/18/2020,India,,21,78,380532,204711,12573
6/19/2020,India,,21,78,395048,213831,12948
6/20/2020,India,,21,78,410451,227728,13254
6/21/2020,India,,21,78,425282,237196,13699
6/22/2020,India,,21,78,440215,248190,14011
6/23/2020,India,,21,78,456183,258685,14476
6/24/2020,India,,21,78,473105,271697,14894
6/25/2020,India,,21,78,490401,285637,15301
6/26/2020,India,,21,78,508953,295881,15685
6/27/2020,India,,21,78,528859,309713,16095
6/28/2020,India,,21,78,548318,321723,16475
6/29/2020,India,,21,78,566840,334822,16893
6/30/2020,India,,21,78,585481,347912,17400
7/1/2020,India,,21,78,604641,359860,17834
7/2/2020,India,,21,78,625544,379892,18213
